id,region_id,store_id,deal_id,status,platform_category_id
914,54,109,13,0,3
915,54,109,14,0,3
916,54,109,15,0,3
917,54,109,16,0,3
918,54,109,17,0,13
919,54,109,18,0,13
920,54,109,19,0,13
921,54,109,20,0,13
922,54,109,21,0,13
923,54,109,22,0,4
924,54,109,23,0,4
925,54,109,24,0,4
926,54,109,25,0,4
927,54,109,26,0,4
928,54,109,27,0,4
929,54,109,28,0,4
930,54,109,29,0,3
931,54,109,30,0,3
932,54,109,31,0,3
933,54,109,32,0,3
934,54,109,33,0,13
935,54,109,34,0,13
936,54,109,35,0,13
937,54,109,36,0,13
938,54,109,37,0,13
939,54,109,38,0,13
940,54,109,39,0,13
941,54,109,40,0,13
942,54,109,41,0,13
943,54,109,42,0,13
944,54,110,1,0,3
945,54,110,3,0,13
946,54,110,4,0,5
947,54,110,5,0,14
948,54,110,6,0,4
949,54,110,7,0,4
950,54,110,8,0,4
951,54,110,9,0,4
952,54,110,10,0,4
953,54,110,11,0,4
954,54,110,12,0,4
955,54,110,13,0,3
956,54,110,14,0,3
957,54,110,15,0,3
958,54,110,16,0,3
959,54,110,17,0,13
960,54,110,18,0,13
961,54,110,19,0,13
962,54,110,20,0,13
963,54,110,21,0,13
964,54,110,22,0,4
965,54,110,23,0,4
966,54,110,24,0,4
967,54,110,25,0,4
968,54,110,26,0,4
969,54,110,27,0,4
970,54,110,28,0,4
971,54,110,29,0,3
972,54,110,30,0,3
973,54,110,31,0,3
974,54,110,32,0,3
975,54,110,33,0,13
976,54,110,34,0,13
977,54,110,35,0,13
978,54,110,36,0,13
979,54,110,37,0,13
980,54,110,38,0,13
981,54,110,39,0,13
982,54,110,40,0,13
983,54,110,41,0,13
984,54,110,42,0,13
985,54,111,1,0,3
986,54,111,3,0,13
987,54,111,4,0,5
988,54,111,5,0,14
989,54,111,6,0,4
990,54,111,7,0,4
991,54,111,8,0,4
992,54,111,9,0,4
993,54,111,10,0,4
994,54,111,11,0,4
995,54,111,12,0,4
996,54,111,13,0,3
997,54,111,14,0,3
998,54,111,15,0,3
999,54,111,16,0,3
1000,54,111,17,0,13
1001,54,111,18,0,13
1002,54,111,19,0,13
1003,54,111,20,0,13
1004,54,111,21,0,13
1005,54,111,22,0,4
1006,54,111,23,0,4
1007,54,111,24,0,4
1008,54,111,25,0,4
1009,54,111,26,0,4
1010,54,111,27,0,4
1011,54,111,28,0,4
1012,54,111,29,0,3
1013,54,111,30,0,3
1014,54,111,31,0,3
1015,54,111,32,0,3
1016,54,111,33,0,13
1017,54,111,34,0,13
1018,54,111,35,0,13
1019,54,111,36,0,13
1020,54,111,37,0,13
1021,54,111,38,0,13
1022,54,111,39,0,13
1023,54,111,40,0,13
1024,54,111,41,0,13
1025,54,111,42,0,13
1026,54,112,1,0,3
1027,54,112,3,0,13
1028,54,112,4,0,5
1029,54,112,5,0,14
1030,54,112,6,0,4
1031,54,112,7,0,4
1032,54,112,8,0,4
1033,54,112,9,0,4
1034,54,112,10,0,4
1035,54,112,11,0,4
1036,54,112,12,0,4
1037,54,112,13,0,3
1038,54,112,14,0,3
1039,54,112,15,0,3
1040,54,112,16,0,3
1041,54,112,17,0,13
1042,54,112,18,0,13
1043,54,112,19,0,13
1044,54,112,20,0,13
1045,54,112,21,0,13
1046,54,112,22,0,4
1047,54,112,23,0,4
1048,54,112,24,0,4
1049,54,112,25,0,4
1050,54,112,26,0,4
1051,54,112,27,0,4
1052,54,112,28,0,4
1053,54,112,29,0,3
1054,54,112,30,0,3
1055,54,112,31,0,3
1056,54,112,32,0,3
1057,54,112,33,0,13
1058,54,112,34,0,13
1059,54,112,35,0,13
1060,54,112,36,0,13
1061,54,112,37,0,13
1062,54,112,38,0,13
1063,54,112,39,0,13
1064,54,112,40,0,13
1065,54,112,41,0,13
